title,description,source
Taylor Swift supports Travis Kelce with rare social media move,"Taylor Swift liked an Instagram post about Travis Kelce's performance from his game in Germany on Sunday, sending fans into a frenzy over the public act of support.",Fox News
"Taylor Swift, Travis Kelce Halloween costume wins friends a top prize: See their rendition of the stars",Florida friends dressed up as Taylor Swift and Travis Kelce for a Halloween costume contest and took home the grand prize. See the pair mimick the iconic duo!,Fox News
Taylor Swift Video Sparks Wild Theory,"""The coincidences are just too much in my opinion, and I am fully on the train of believing this is Taylor Swift,"" user @chloeandpercy says in the clip.",Newsweek
Travis Kelce's dad says he's impressed by Taylor Swift after meeting pop star,"Despite Travis Kelce joking that his father meeting Taylor Swift was ""terrifying,"" Ed Kelce reportedly had a great first impression of the pop star.",Fox Sports
Taylor Swift's new Eras Tour pink outfits had everyone making Barbie (Taylor's Version) jokes,A changed look for Taylor Swift's latest Eras Tour stop in Buenos Aires.,USA Today
The 23 most delightfully goofy Travis Kelce tweets unearthed by Taylor Swift fans,These are all so wholesome.,USA Today
Taylor Swift Under Attack by MAGA Christians,"A self-proclaimed prophet and Donald Trump fan claims the pop star has been doing the devil's work, along with Pfizer and rumored boyfriend Travis Kelce.",Newsweek
Travis Kelce apologizes to Taylor Swift’s dad | CNN,Remember when Travis Kelce said he was going to stick to talking about football and not his private life? Good thing for the Swifties it looks like he didn’t mean it.,CNN
"NFL Week 7 top viral moments: LeBron James, Taylor Swift celebrate National Tight Ends Day",There was plenty to buzz about on social media during an action-packed NFL slate. Check out the moments that had the internet talking here!,Fox Sports
Video: Chiefs' Travis Kelce Reacts to Viral Taylor Swift Halloween TikTok Costume,Travis Kelce appreciates the jokes. The Kansas City Chiefs tight end reacted to a TikTok from JaxWritesSongs that played on the prank of Taylor Swift fans…,Bleacher Report
Taylor Swift sports Travis Kelce's football jersey number on friendship bracelet at Chiefs game,Taylor Swift showed NFL fans how to support a player by wearing Travis Kelce's football jersey number on a friendship bracelet while watching Chiefs game.,Fox News
Why do people think Taylor Swift secretly wrote Henry Cavill’s new spy movie?,Argylle stars Henry Cavill and Dua Lipa and is based on a book by author Elly Conway — who Taylor Swift fans are convinced is the pop superstar herself.,Polygon
"Taylor Swift, Patrick Mahomes' Wife Photos Mocked",The pop star and her new friend have once again found themselves being targeted by cruel trolls online.,Newsweek
Andy Reid Says Opposing Coaches Don't Call Him About Taylor Swift,"The Kansas City Chiefs coach said he is happy that star tight end Travis Kelce has ""found somebody he likes.""",Newsweek
Taylor Swift to bring Eras Tour to Vancouver for 3 nights in December 2024,Taylor Swift is preparing to bring her Eras Tour to Vancouver for three nights next December.,CBC News
Taylor Swift Fan Dies at Rio Concert as Fans Complain About High Temperatures and Lack of Water,"RIO DE JANEIRO (AP) — A 23-year-old Taylor Swift fan died at the singer’s Eras Tour concert in Rio de Janeiro Friday night, according to a statement from the show’s organizers in Brazil.",Breitbart News
Josh Dobbs Replaces Taylor Swift as Header for Official NFL X Account,"After joining the Minnesota Vikings in the wake of Kirk Cousins' injury, Dobbs is one of the most feel-good stories in the NFL.",Newsweek
"4 Travis Kelce and Taylor Swift podcast revelations from his Argentina trip, including knowing Karma lyrics would change",Travis Kelce talked with his brother Jason on their New Heights podcast about his trip to see Taylor Swift in Argentina.,USA Today
"Report: Travis Kelce, Taylor Swift's Parents Expected to Meet at Eagles vs. Chiefs",Travis Kelce and Taylor Swift appear to be taking the next step in their relationship. The parents of the Chiefs tight end and world-renowned…,Bleacher Report
Taylor Swift cancels Friday night show in Buenos Aires after Travis Kelce arrives in Argentina,Taylor Swift called off her Friday night Eras Tour show in Buenos Aires due to intense rain even after Travis Kelce showed up to watch her perform.,NBC News
"Taylor Swift, Cardi B, extra guacamole: How New Jersey’s governor spent $12K on stadium concessions",The request came after POLITICO obtained records of taxpayer spending.,Politico
"Taylor Swift, Travis Kelce break NFL WAG curse: Jessica Simpson, Carrie Underwood once blamed for losses",Taylor Swift and Travis Kelce's new relationship fills the blank space that the NFL needs to recover from the alleged curse when Hollywood stars date football players.,Fox News
Travis Kelce faces jabs after another quiet game without Taylor Swift in attendance,Kansas City Chiefs tight end Travis Kelce faced some ribbing on social media as he had another quiet game with Taylor Swift not in attendance.,Fox News
Taylor Swift postpones Rio show after a fan's death during her Friday night concert,Taylor Swift postpones Rio show after a fan's death during her Friday night concert,ABC News
Could Taylor Swift make it to K.C. for Kelce brothers' Super Bowl rematch?,Taylor Swift is currently touring on another continent. Could she make time to jet back to Kansas City for Travis Kelce's big game next week? Here's a breakdown.,Fox Sports
Gigi Hadid Breaks Silence on Taylor Swift's Romance With Travis Kelce,Gigi Hadid has denied she doesn't approve of Taylor Swift's relationship with football star Travis Kelce moving so fast.,Newsweek
"Chiefs want to be ‘world’s team’ behind star power, Super Bowl success","Can the Chiefs rule the world? With championships, Patrick Mahomes, Travis Kelce — and Taylor Swift! — why not?",Fox Sports
Taylor Swift supports Travis Kelce with rare social media move,"Taylor Swift liked an Instagram post about Travis Kelce's performance from his game in Germany on Sunday, sending fans into a frenzy over the public act of support.",Fox News
Travis Kelce and Taylor Swift exit Chiefs’ stadium hand-in-hand after dominant win over Chargers,Kansas City Chiefs tight end Travis Kelce and rumored girlfriend Taylor Swift left Arrowhead Stadium Sunday night hand-in-hand after a dominant win over the Los Angeles Chargers.,Fox News
Roles reversed: Kelce uses bye week to attend Swift's performance,"After weeks of Taylor Swift making headlines for attending Chiefs games, it was Travis Kelce's turn to garner attention with his appearance in Buenos Aires.",ESPN
WATCH: Taylor Swift and Travis Kelce share a kiss after her Buenos Aires concert,Video shows the singer and Chiefs’ tight end embracing each other after her show.,ABC News
Travis Kelce knows his stats are better when Taylor Swift attends his games,"""How could I not be aware of this?""",USA Today
Taylor Swift watches football with former NFL quarterback Bernie Kosar before attending Chiefs game,"Taylor Swift is back at Arrowhead Stadium to catch her rumored beau Travis Kelce, but before attending the game, she watched the early games with Bernie Kosar.",Fox News
"Kelly Clarkson jokes Taylor Swift, Travis Kelce have 'taken over' NFL: 'It's like you're watching Housewives'","Kelly Clarkson is not happy with Taylor Swift and Travis Kelce's NFL takeover, saying she feels like she's watching ""The Real Housewives"" instead of football.",Fox News
"Taylor Swift, Travis Kelce's long distance romance has fans anticipating next rendezvous","Taylor Swift embarks on Brazilian leg of her Eras Tour this week through Thanksgiving, leaving little time for new romance with boyfriend Travis Kelce.",Fox News
Jaylen Waddle on Taylor Swift possibly showing up to Chiefs game in Germany: 'I'm a Swiftie',Raise your hand if you had Jaylen Waddle as a Taylor Swift fan on your Bingo Card.,USA Today
Taylor Swift hints Travis Kelce romance is serious with these subtle clues,Taylor Swift has dropped subtle clues about her relationship with Travis Kelce. Her fans have picked up on hints the romance is getting serious during The Eras Tour.,Fox News
Taylor Swift delights Argentina concert fans with popular Spanish slang,"Taylor Swift fans went wild in Argentina when she swapped the words ""like ever"" for a Spanish expression popular in Argentina, and the crowd went wild.",NBC News
Taylor Swift mourns fan who died before concert in Brazil | CNN,"Taylor Swift fan died Friday night before the Eras Tour show in Rio De Janeiro, Brazil the singer said on Instagram.",CNN
"Taylor Swift fans worry after she spends time with Jackson Mahomes, Britney Spears shares why she goes nude","The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.",Fox News
